Key,Source,Context,Changes,English,schinese
Reduce Medium armor movement penalty by 15% and stamina penalty by 9%.,progression,skills,New,Reduce Medium armor movement penalty by 15% and stamina penalty by 9%.,中型护甲的移动惩罚减少15%，耐力惩罚减少9%
Reduce Medium armor movement penalty by 20% and stamina penalty by 12%.,progression,skills,New,Reduce Medium armor movement penalty by 20% and stamina penalty by 12%.,中型护甲的移动惩罚减少20%，耐力惩罚减少12%
Reduce Medium armor movement penalty by 25% and stamina penalty by 15.,progression,skills,New,Reduce Medium armor movement penalty by 25% and stamina penalty by 15.,中型护甲的移动惩罚减少25%，耐力惩罚减少15%
Reduce Medium armor movement penalty by 30% and stamina penalty by 18%.,progression,skills,New,Reduce Medium armor movement penalty by 30% and stamina penalty by 18%.,中型护甲的移动惩罚减少30%，耐力惩罚减少18%
Requiescat in pace. Reduce Medium armor movement penalty by 40% and the stamina penalty by 25%.,progression,skills,New,Requiescat in pace. Reduce Medium armor movement penalty by 40% and the stamina penalty by 25%.,Requiescat in pace. \n中甲的移动惩罚减少40%\n物理惩罚减少25%
Thick Skin,progression,skills,New,Thick Skin,厚实皮革
You are mastering your body control while wearing heavy armor. Your movement speed and stamina costs while wearing heavy armor decrease.,progression,skills,New,You are mastering your body control while wearing heavy armor. Your movement speed and stamina costs while wearing heavy armor decrease.,当你穿着重型盔甲时，你正在掌握你的身体控制。你的移动速度和耐力消耗在穿戴重型盔甲时会降低。
Reduce Heavy armor movement and stamina penalty by 3%.,progression,skills,New,Reduce Heavy armor movement and stamina penalty by 3%.,重甲的移动惩罚和体力惩罚减少3%
Reduce Heavy armor movement and stamina penalty by 6%.,progression,skills,New,Reduce Heavy armor movement and stamina penalty by 6%.,重甲的移动惩罚和体力惩罚减少6%
Reduce Heavy armor movement and stamina penalty by 9%.,progression,skills,New,Reduce Heavy armor movement and stamina penalty by 9%.,重甲的移动惩罚和体力惩罚减少9%
Reduce Heavy armor movement and stamina penalty by 12%.,progression,skills,New,Reduce Heavy armor movement and stamina penalty by 12%.,重甲的移动惩罚和体力惩罚减少12%
Reduce Heavy armor movement and stamina penalty by 15%.,progression,skills,New,Reduce Heavy armor movement and stamina penalty by 15%.,重甲的移动惩罚和体力惩罚减少15%
Reduce Heavy armor movement and stamina penalty by 18%.,progression,skills,New,Reduce Heavy armor movement and stamina penalty by 18%.,重甲的移动惩罚和体力惩罚减少18%
You have mastered the weight of Heavy Armor. Reduce Heavy armor movement and stamina penalty by 25%.,progression,skills,New,You have mastered the weight of Heavy Armor. Reduce Heavy armor movement and stamina penalty by 25%.,你已经掌握了重甲的重量\n重甲的移动惩罚和体力惩罚减少25%
Spartan,progression,skills,New,Spartan,斯巴达
"You are mastering the arts of the spear. Your damage, attack speed and throwing range with spears increases.",progression,skills,New,"You are mastering the arts of the spear. Your damage, attack speed and throwing range with spears increases.",你正在练习长矛的技艺。你的长矛伤害、攻击速度和投掷距离增加。
"Increase your entity damage by 7%, attack speed by 1.2% and bleed chance by 12% while using spears.",progression,skills,New,"Increase your entity damage by 7%, attack speed by 1.2% and bleed chance by 12% while using spears.","使用长矛时，你的实体伤害增加7%,攻击速度增加1.2%,出血几率增加12%。"
"Increase your entity damage by 14%, attack speed by 2.4% and bleed chance by 24% while using spears.",progression,skills,New,"Increase your entity damage by 14%, attack speed by 2.4% and bleed chance by 24% while using spears.","使用长矛时，你的实体伤害增加14%,攻击速度增加2.4%,出血几率增加24%。"
"Increase your entity damage by 21%, attack speed by 3.6% and bleed chance by 36% while using spears.",progression,skills,New,"Increase your entity damage by 21%, attack speed by 3.6% and bleed chance by 36% while using spears.","使用长矛时，你的实体伤害增加21%,攻击速度增加3.6%,出血几率增加36%。"
"Increase your entity damage by 28%, attack speed by 4.8% and bleed chance by 48% while using spears.",progression,skills,New,"Increase your entity damage by 28%, attack speed by 4.8% and bleed chance by 48% while using spears.","使用长矛时，你的实体伤害增加28%,攻击速度增加4.8%,出血几率增加48%。"
"Increase your entity damage by 35%, attack speed by 6% and bleed chance by 60% while using spears.",progression,skills,New,"Increase your entity damage by 35%, attack speed by 6% and bleed chance by 60% while using spears.","使用长矛时，你的实体伤害增加35%,攻击速度增加6%,出血几率增加60%。"
"Increase your entity damage by 42%, attack speed by 7.2% and bleed chance by 72% while using spears.",progression,skills,New,"Increase your entity damage by 42%, attack speed by 7.2% and bleed chance by 72% while using spears.","使用长矛时，你的实体伤害增加42%,攻击速度增加7.2%,出血几率增加72%。"
"THIS - IS - SPARTAAA!! Increase your entity damage by 50%, attack speed by 10% and bleed chance by 100% while using spears.",progression,skills,New,"THIS - IS - SPARTAAA!! Increase your entity damage by 50%, attack speed by 10% and bleed chance by 100% while using spears.","THIS - IS - SPARTAAA!!\n使用长矛时，你的实体伤害增加50%,攻击速度增加10%,出血几率增加100%。"
Clubber,progression,skills,New,Clubber,棍击者
You are mastering the arts of the club. Your damage and attack speed with clubs increases.,progression,skills,New,You are mastering the arts of the club. Your damage and attack speed with clubs increases.,你正在练习棍棒的技巧。你的棍棒伤害和攻击速度增加。
Increase your entity damage by 7%. Damage is increased by an additional 12% if you hit a target while sprinting.,progression,skills,New,Increase your entity damage by 7%. Damage is increased by an additional 12% if you hit a target while sprinting.,"你的实体伤害增加7%。奔跑时击中目标,伤害额外增加12%"
Increase your entity damage by 14%. Damage is increased by an additional 24% if you hit a target while sprinting.,progression,skills,New,Increase your entity damage by 14%. Damage is increased by an additional 24% if you hit a target while sprinting.,"你的实体伤害增加14%。奔跑时击中目标,伤害额外增加24%"
Increase your entity damage by 21%. Damage is increased by an additional 36% if you hit a target while sprinting.,progression,skills,New,Increase your entity damage by 21%. Damage is increased by an additional 36% if you hit a target while sprinting.,"你的实体伤害增加21%。奔跑时击中目标,伤害额外增加36%"
Increase your entity damage by 28%. Damage is increased by an additional 48% if you hit a target while sprinting.,progression,skills,New,Increase your entity damage by 28%. Damage is increased by an additional 48% if you hit a target while sprinting.,"你的实体伤害增加28%。奔跑时击中目标,伤害额外增加48%"
Increase your entity damage by 35%. Damage is increased by an additional 60% if you hit a target while sprinting.,progression,skills,New,Increase your entity damage by 35%. Damage is increased by an additional 60% if you hit a target while sprinting.,"你的实体伤害增加35%。奔跑时击中目标,伤害额外增加60%"
Increase your entity damage by 42%. Damage is increased by an additional 72% if you hit a target while sprinting.,progression,skills,New,Increase your entity damage by 42%. Damage is increased by an additional 72% if you hit a target while sprinting.,"你的实体伤害增加42%。奔跑时击中目标,伤害额外增加72%"
You are Cheems with the power of Bonk. Send anyone to horny jail. Increase your entity damage by 50%. Damage is increased by an additional 100% if you hit a target while sprinting.,progression,skills,New,You are Cheems with the power of Bonk. Send anyone to horny jail. Increase your entity damage by 50%. Damage is increased by an additional 100% if you hit a target while sprinting.,"你是Cheems，拥有Bonk的力量。可以把任何人送进涩涩监狱。\n你的实体伤害增加50%。奔跑时击中目标,伤害额外增加100%"
Hammerer,progression,skills,New,Hammerer,锤击者
You are mastering the arts of the sledgehammer.,progression,skills,New,You are mastering the arts of the sledgehammer.,你正在练习大锤的技术
Increase your entity damage with sledgehammers by 12% and block damage by 20%.,progression,skills,New,Increase your entity damage with sledgehammers by 12% and block damage by 20%.,"使用大锤时,你的实体伤害增加12%,物块伤害增加20%。"
Increase your entity damage with sledgehammers by 24% and block damage by 40%.,progression,skills,New,Increase your entity damage with sledgehammers by 24% and block damage by 40%.,"使用大锤时,你的实体伤害增加25%,物块伤害增加40%。"
Increase your entity damage with sledgehammers by 36% and block damage by 60%.,progression,skills,New,Increase your entity damage with sledgehammers by 36% and block damage by 60%.,"使用大锤时,你的实体伤害增加36%,物块伤害增加60%。"
Increase your entity damage with sledgehammers by 48% and block damage by 80%.,progression,skills,New,Increase your entity damage with sledgehammers by 48% and block damage by 80%.,"使用大锤时,你的实体伤害增加48%,物块伤害增加80%。"
Increase your entity damage with sledgehammers by 60% and block damage by 100%.,progression,skills,New,Increase your entity damage with sledgehammers by 60% and block damage by 100%.,"使用大锤时,你的实体伤害增加60%,物块伤害增加100%。"
Increase your entity damage with sledgehammers by 72% and block damage by 120%.,progression,skills,New,Increase your entity damage with sledgehammers by 72% and block damage by 120%.,"使用大锤时,你的实体伤害增加72%,物块伤害增加120%。"
You are Bob the Builder's evil twin brother! Increase your entity damage with sledgehammers by 75% and block damage by 150%.,progression,skills,New,You are Bob the Builder's evil twin brother! Increase your entity damage with sledgehammers by 75% and block damage by 150%.,"你是Bob the Builder的邪恶孪生兄弟！\n使用大锤时,你的实体伤害增加75%,物块伤害增加150%。"
Handyman,progression,skills,New,Handyman,工匠
You are mastering the use of tools. You are dealing more damage to blocks and work faster.,progression,skills,New,You are mastering the use of tools. You are dealing more damage to blocks and work faster.,你正在掌握工具的使用。你对方块造成的伤害增加，且工作速度更快。
Increase tool damage by 7% and block damage by 10%. Decrease the damage you receive through falling blocks by 7% while wearing tools.,progression,skills,New,Increase tool damage by 7% and block damage by 10%. Decrease the damage you receive through falling blocks by 7% while wearing tools.,"工具伤害增加7%,物块伤害增加10%\n穿戴工具时，你受到的坠落方块伤害减少7%。"
Increase tool damage by 14% and block damage by 20%. Decrease the damage you receive through falling blocks by 14% while wearing tools.,progression,skills,New,Increase tool damage by 14% and block damage by 20%. Decrease the damage you receive through falling blocks by 14% while wearing tools.,"工具伤害增加14%,物块伤害增加20%\n穿戴工具时，你受到的坠落方块伤害减少14%。"
Increase tool damage by 21% and block damage by 30%. Decrease the damage you receive through falling blocks by 21% while wearing tools.,progression,skills,New,Increase tool damage by 21% and block damage by 30%. Decrease the damage you receive through falling blocks by 21% while wearing tools.,"工具伤害增加21%,物块伤害增加30%\n穿戴工具时，你受到的坠落方块伤害减少21%。"
Increase tool damage by 28% and block damage by 40%. Decrease the damage you receive through falling blocks by 28% while wearing tools.,progression,skills,New,Increase tool damage by 28% and block damage by 40%. Decrease the damage you receive through falling blocks by 28% while wearing tools.,"工具伤害增加28%,物块伤害增加40%\n穿戴工具时，你受到的坠落方块伤害减少28%。"
Increase tool damage by 35% and block damage by 50%. Decrease the damage you receive through falling blocks by 35% while wearing tools.,progression,skills,New,Increase tool damage by 35% and block damage by 50%. Decrease the damage you receive through falling blocks by 35% while wearing tools.,"工具伤害增加35%,物块伤害增加50%\n穿戴工具时，你受到的坠落方块伤害减少35%。"
Increase tool damage by 42% and block damage by 60%. Decrease the damage you receive through falling blocks by 42% while wearing tools.,progression,skills,New,Increase tool damage by 42% and block damage by 60%. Decrease the damage you receive through falling blocks by 42% while wearing tools.,"工具伤害增加42%,物块伤害增加60%\n穿戴工具时，你受到的坠落方块伤害减少42%。"
You are your friend's wife's handyman. Increase tool damage by 50% and block damage by 75%. Decrease the damage you receive through falling blocks by 50% while wearing tools.,progression,skills,New,You are your friend's wife's handyman. Increase tool damage by 50% and block damage by 75%. Decrease the damage you receive through falling blocks by 50% while wearing tools.,"你是你朋友妻子的工匠\n工具伤害增加50%,物块伤害增加75%\n穿戴工具时，你受到的坠落方块伤害减少50%"
Martial Arts,progression,skills,New,Martial Arts,武术
You are mastering the martial arts. Your damage and overall speed increase while using fists and knuckles.,progression,skills,New,You are mastering the martial arts. Your damage and overall speed increase while using fists and knuckles.,你正在练习武术技艺。使用拳头和指节时，你的伤害和整体速度增加。
Increase your chance to explode heads by 1.2% and your attack and movement speed with fists and knuckles by 3%.,progression,skills,New,Increase your chance to explode heads by 1.2% and your attack and movement speed with fists and knuckles by 3%.,你的爆头概率增加1.2%，并且你拳头和指节的攻击速度和移动速度提高3%
Increase your chance to explode heads by 2.4% and your attack and movement speed with fists and knuckles by 6%.,progression,skills,New,Increase your chance to explode heads by 2.4% and your attack and movement speed with fists and knuckles by 6%.,你的爆头概率增加2.4%，并且你拳头和指节的攻击速度和移动速度提高6%
Increase your chance to explode heads by 3.6% and your attack and movement speed with fists and knuckles by 9%.,progression,skills,New,Increase your chance to explode heads by 3.6% and your attack and movement speed with fists and knuckles by 9%.,你的爆头概率增加3.6%，并且你拳头和指节的攻击速度和移动速度提高9%
Increase your chance to explode heads by 4.8% and your attack and movement speed with fists and knuckles by 12%.,progression,skills,New,Increase your chance to explode heads by 4.8% and your attack and movement speed with fists and knuckles by 12%.,你的爆头概率增加4.8%，并且你拳头和指节的攻击速度和移动速度提高12%
Increase your chance to explode heads by 6% and your attack and movement speed with fists and knuckles by 15%.,progression,skills,New,Increase your chance to explode heads by 6% and your attack and movement speed with fists and knuckles by 15%.,你的爆头概率增加6%，并且你拳头和指节的攻击速度和移动速度提高15%
Increase your chance to explode heads by 7.2% and your attack and movement speed with fists and knuckles by 18%.,progression,skills,New,Increase your chance to explode heads by 7.2% and your attack and movement speed with fists and knuckles by 18%.,你的爆头概率增加7.2%，并且你拳头和指节的攻击速度和移动速度提高18%
You are the Fist of the North Star. Increase your chance to explode heads by 10% and your attack and movement speed with fists and knuckles by 25%.,progression,skills,New,You are the Fist of the North Star. Increase your chance to explode heads by 10% and your attack and movement speed with fists and knuckles by 25%.,你是北斗神拳。\n你的爆头概率增加10%，并且你拳头和指节的攻击速度和移动速度提高25%
Blademaster,progression,skills,New,Blademaster,剑术大师
You are mastering the arts of the blade. Your attack speed and bleeding stacks increase.,progression,skills,New,You are mastering the arts of the blade. Your attack speed and bleeding stacks increase.,你正在掌握刀剑之道。你的攻击速度和出血效果叠加次数增加。
Increase your attack speed by 7% with bladed weapons. Increase the maximum stacks of bleed you can apply by 1.,progression,skills,New,Increase your attack speed by 7% with bladed weapons. Increase the maximum stacks of bleed you can apply by 1.,使用刀剑武器时，攻击速度增加7%。最大出血叠加层数+1
Increase your attack speed by 14% with bladed weapons. Increase the maximum stacks of bleed you can apply by 2.,progression,skills,New,Increase your attack speed by 14% with bladed weapons. Increase the maximum stacks of bleed you can apply by 2.,使用刀剑武器时，攻击速度增加14%。最大出血叠加层数+2
Increase your attack speed by 21% with bladed weapons. Increase the maximum stacks of bleed you can apply by 3.,progression,skills,New,Increase your attack speed by 21% with bladed weapons. Increase the maximum stacks of bleed you can apply by 3.,使用刀剑武器时，攻击速度增加21%。最大出血叠加层数+3
Increase your attack speed by 28% with bladed weapons. Increase the maximum stacks of bleed you can apply by 4.,progression,skills,New,Increase your attack speed by 28% with bladed weapons. Increase the maximum stacks of bleed you can apply by 4.,使用刀剑武器时，攻击速度增加28%。最大出血叠加层数+4
Increase your attack speed by 35% with bladed weapons. Increase the maximum stacks of bleed you can apply by 5.,progression,skills,New,Increase your attack speed by 35% with bladed weapons. Increase the maximum stacks of bleed you can apply by 5.,使用刀剑武器时，攻击速度增加35%。最大出血叠加层数+5
Increase your attack speed by 42% with bladed weapons. Increase the maximum stacks of bleed you can apply by 6.,progression,skills,New,Increase your attack speed by 42% with bladed weapons. Increase the maximum stacks of bleed you can apply by 6.,使用刀剑武器时，攻击速度增加42%。最大出血叠加层数+6
The warlocks of the Blackrock clan have spoken! Increase your attack speed by 50% with bladed weapons. Increase the maximum stacks of bleed you can apply by 7.,progression,skills,New,The warlocks of the Blackrock clan have spoken! Increase your attack speed by 50% with bladed weapons. Increase the maximum stacks of bleed you can apply by 7.,The warlocks of the Blackrock clan have spoken!\n使用刀剑武器时，攻击速度增加50%。最大出血叠加层数+7
Enforcer,progression,skills,New,Enforcer,执法者
"You are mastering the arts of the baton. What you say, goes. Increase your entity damage and chance to knock down with batons.",progression,skills,New,"You are mastering the arts of the baton. What you say, goes. Increase your entity damage and chance to knock down with batons.","你正在练习警棍的技巧,增加你使用警棍的实体伤害和击倒几率。"
Increase your entity damage with stun batons by 12% and an additional 7% chance to knock down enemies.,progression,skills,New,Increase your entity damage with stun batons by 12% and an additional 7% chance to knock down enemies.,眩晕棒实体伤害增加12%，7%的几率击倒敌人
Increase your entity damage with stun batons by 24% and an additional 14% chance to knock down enemies.,progression,skills,New,Increase your entity damage with stun batons by 24% and an additional 14% chance to knock down enemies.,眩晕棒实体伤害增加24%，14%的几率击倒敌人
Increase your entity damage with stun batons by 36% and an additional 21% chance to knock down enemies.,progression,skills,New,Increase your entity damage with stun batons by 36% and an additional 21% chance to knock down enemies.,眩晕棒实体伤害增加36%，21%的几率击倒敌人
Increase your entity damage with stun batons by 48% and an additional 28% chance to knock down enemies.,progression,skills,New,Increase your entity damage with stun batons by 48% and an additional 28% chance to knock down enemies.,眩晕棒实体伤害增加48%，28%的几率击倒敌人
Increase your entity damage with stun batons by 60% and an additional 35% chance to knock down enemies.,progression,skills,New,Increase your entity damage with stun batons by 60% and an additional 35% chance to knock down enemies.,眩晕棒实体伤害增加60%，35%的几率击倒敌人
Increase your entity damage with stun batons by 72% and an additional 42% chance to knock down enemies.,progression,skills,New,Increase your entity damage with stun batons by 72% and an additional 42% chance to knock down enemies.,眩晕棒实体伤害增加72%，42%的几率击倒敌人
STOP RESISTING!! Increase your entity damage by 100% with stun batons. Also gives you an additional 50% chance to knock down enemies.,progression,skills,New,STOP RESISTING!! Increase your entity damage by 100% with stun batons. Also gives you an additional 50% chance to knock down enemies.,停止抵抗!!!\n眩晕棒实体伤害增加100%，50%的几率击倒敌人
Rifleman,progression,skills,New,Rifleman,步枪手
You are mastering the arts of the rifle. Your damage and weapon handling increases.,progression,skills,New,You are mastering the arts of the rifle. Your damage and weapon handling increases.,你正在练习步枪的技巧。你的伤害和武器操作能力增强。
Increase your entity damage and armor penetration by 7%.,progression,skills,New,Increase your entity damage and armor penetration by 7%.,增加你的实体伤害和护甲穿透7%
Increase your entity damage and armor penetration by 14%.,progression,skills,New,Increase your entity damage and armor penetration by 14%.,增加你的实体伤害和护甲穿透14%
Increase your entity damage and armor penetration by 21%.,progression,skills,New,Increase your entity damage and armor penetration by 21%.,增加你的实体伤害和护甲穿透21%
Increase your entity damage and armor penetration by 28%.,progression,skills,New,Increase your entity damage and armor penetration by 28%.,增加你的实体伤害和护甲穿透28%
Increase your entity damage and armor penetration by 35%.,progression,skills,New,Increase your entity damage and armor penetration by 35%.,增加你的实体伤害和护甲穿透35%
Increase your entity damage and armor penetration by 42%.,progression,skills,New,Increase your entity damage and armor penetration by 42%.,增加你的实体伤害和护甲穿透42%
You are Simo Hayha. Increase your entity damage and armor penetration by 50%.,progression,skills,New,You are Simo Hayha. Increase your entity damage and armor penetration by 50%.,你是 Simo Hayha！\n增加你的实体伤害和护甲穿透50%
Demoman,progression,skills,New,Demoman,爆破手
You are mastering the art of throwing dynamite around. Vastly increase your damage and the chance to dismember with explosives.,progression,skills,New,You are mastering the art of throwing dynamite around. Vastly increase your damage and the chance to dismember with explosives.,你正在掌握四处扔炸药的艺术。大幅增加你的伤害和爆炸物使肢体分离的几率。
Increase entity damage by 8% and provides an additional 1.2% chance to dismember.,progression,skills,New,Increase entity damage by 8% and provides an additional 1.2% chance to dismember.,"实体伤害增加8%,肢解几率增加1.2%"
Increase entity damage by 16% and provides an additional 2.4% chance to dismember.,progression,skills,New,Increase entity damage by 16% and provides an additional 2.4% chance to dismember.,"实体伤害增加16%,肢解几率增加2.4%"
Increase entity damage by 24% and provides an additional 3.6% chance to dismember,progression,skills,New,Increase entity damage by 24% and provides an additional 3.6% chance to dismember,"实体伤害增加24%,肢解几率增加3.6%"
Increase entity damage by 32% and provides an additional 4.8% chance to dismember.,progression,skills,New,Increase entity damage by 32% and provides an additional 4.8% chance to dismember.,"实体伤害增加32%,肢解几率增加4.8%"
Increase entity damage by 40% and provides an additional 6% chance to dismember.,progression,skills,New,Increase entity damage by 40% and provides an additional 6% chance to dismember.,"实体伤害增加40%,肢解几率增加6%"
Increase entity damage by 48% and provides an additional 7.2% chance to dismember.,progression,skills,New,Increase entity damage by 48% and provides an additional 7.2% chance to dismember.,"实体伤害增加48%,肢解几率增加7.2%"
"Hey, as long as it works! Increase entity damage by 60% and provides an additional 10% chance to dismember.",progression,skills,New,"Hey, as long as it works! Increase entity damage by 60% and provides an additional 10% chance to dismember.","嘿，只要有效就行！\n实体伤害增加60%,肢解几率增加10%"
Shotty,progression,skills,New,Shotty,霰弹枪手
You are mastering the arts of the shotgun. Your entity damage and weapon handling increases.,progression,skills,New,You are mastering the arts of the shotgun. Your entity damage and weapon handling increases.,你正在练习霰弹枪的技巧。你的实体伤害和武器操作能力增强。
Increase your entity damage with shotguns by 12% and reload speed by by 4%.,progression,skills,New,Increase your entity damage with shotguns by 12% and reload speed by by 4%.,霰弹枪实体伤害12%，装填速度提高4%
Increase your entity damage with shotguns by 24% and reload speed by by 8%.,progression,skills,New,Increase your entity damage with shotguns by 24% and reload speed by by 8%.,霰弹枪实体伤害24%，装填速度提高8%
Increase your entity damage with shotguns by 36% and reload speed by by 12%.,progression,skills,New,Increase your entity damage with shotguns by 36% and reload speed by by 12%.,霰弹枪实体伤害36%，装填速度提高12%
Increase your entity damage with shotguns by 48% and reload speed by by 16%.,progression,skills,New,Increase your entity damage with shotguns by 48% and reload speed by by 16%.,霰弹枪实体伤害48%，装填速度提高16%
Increase your entity damage with shotguns by 60% and reload speed by by 20%.,progression,skills,New,Increase your entity damage with shotguns by 60% and reload speed by by 20%.,霰弹枪实体伤害60%，装填速度提高20%
Increase your entity damage with shotguns by 72% and reload speed by by 24%.,progression,skills,New,Increase your entity damage with shotguns by 72% and reload speed by by 24%.,霰弹枪实体伤害72%，装填速度提高24%
"Hey little sister, SHOTGUN! Increase your entity damage with shotguns by 100% and reload speed by by 30%.",progression,skills,New,"Hey little sister, SHOTGUN! Increase your entity damage with shotguns by 100% and reload speed by by 30%.",嘿，小姐妹，霰弹枪！\n霰弹枪实体伤害100%，装填速度提高30%
Marine,progression,skills,New,Marine,海军陆战队
You are mastering the arts of automatic rifles. Your fire rate and weapon handling increases.,progression,skills,New,You are mastering the arts of automatic rifles. Your fire rate and weapon handling increases.,你正在练习自动步枪的技巧。你的射速和武器操作能力增强。
"Increase your entity damage, weapon handling and reload speed with machine guns by 7%.",progression,skills,New,"Increase your entity damage, weapon handling and reload speed with machine guns by 7%.",使用机枪时，实体伤害、武器操作、装填速度增加7%
"Increase your entity damage, weapon handling and reload speed with machine guns by 14%.",progression,skills,New,"Increase your entity damage, weapon handling and reload speed with machine guns by 14%.",使用机枪时，实体伤害、武器操作、装填速度增加14%
"Increase your entity damage, weapon handling and reload speed with machine guns by 21%.",progression,skills,New,"Increase your entity damage, weapon handling and reload speed with machine guns by 21%.",使用机枪时，实体伤害、武器操作、装填速度增加21%
"Increase your entity damage, weapon handling and reload speed with machine guns by 28%.",progression,skills,New,"Increase your entity damage, weapon handling and reload speed with machine guns by 28%.",使用机枪时，实体伤害、武器操作、装填速度增加28%
"Increase your entity damage, weapon handling and reload speed with machine guns by 35%.",progression,skills,New,"Increase your entity damage, weapon handling and reload speed with machine guns by 35%.",使用机枪时，实体伤害、武器操作、装填速度增加35%
"Increase your entity damage, weapon handling and reload speed with machine guns by 42%.",progression,skills,New,"Increase your entity damage, weapon handling and reload speed with machine guns by 42%.",使用机枪时，实体伤害、武器操作、装填速度增加42%
"Live For Nothing, Or Die For Something. Increase your entity damage, weapon handling and reload speed with machine guns by 50%.",progression,skills,New,"Live For Nothing, Or Die For Something. Increase your entity damage, weapon handling and reload speed with machine guns by 50%.","无意义地活着,或者有价值地死去\n使用机枪时，实体伤害、武器操作、装填速度增加50%"
Bowman,progression,skills,New,Bowman,弓箭手
"You are mastering the arts of the bow. If thou are of pure heart the arrow shall miss, if thou are not, the arrow shall tear thee asunder.",progression,skills,New,"You are mastering the arts of the bow. If thou are of pure heart the arrow shall miss, if thou are not, the arrow shall tear thee asunder.",你正在练习弓箭的技巧。如果你心怀纯真，箭矢将会错过；如果不是，箭矢将把你撕裂成两半。
"Increase your entity damage, weapon handling, reload speed with bows by 7% and prepare an additional bolt/arrow per reload.",progression,skills,New,"Increase your entity damage, weapon handling, reload speed with bows by 7% and prepare an additional bolt/arrow per reload.",使用弓箭时，实体伤害、武器操作、装填速度各7%，每次装填时额外装填1支箭
"Increase your entity damage, weapon handling, reload speed with bows by 14% and prepare an additional bolt/arrow per reload",progression,skills,New,"Increase your entity damage, weapon handling, reload speed with bows by 14% and prepare an additional bolt/arrow per reload",使用弓箭时，实体伤害、武器操作、装填速度各14%，每次装填时额外装填1支箭
"Increase your entity damage, weapon handling, reload speed with bows by 21% and prepare 2 additional bolts/arrows per reload.",progression,skills,New,"Increase your entity damage, weapon handling, reload speed with bows by 21% and prepare 2 additional bolts/arrows per reload.",使用弓箭时，实体伤害、武器操作、装填速度各21%，每次装填时额外装填2支箭
"Increase your entity damage, weapon handling, reload speed with bows by 28% and prepare 2 additional bolts/arrows per reload.",progression,skills,New,"Increase your entity damage, weapon handling, reload speed with bows by 28% and prepare 2 additional bolts/arrows per reload.",使用弓箭时，实体伤害、武器操作、装填速度各28%，每次装填时额外装填2支箭
"Increase your entity damage, weapon handling, reload speed with bows by 35% and prepare 3 additional bolts/arrows per reload",progression,skills,New,"Increase your entity damage, weapon handling, reload speed with bows by 35% and prepare 3 additional bolts/arrows per reload",使用弓箭时，实体伤害、武器操作、装填速度各35%，每次装填时额外装填3支箭
"Increase your entity damage, weapon handling, reload speed with bows by 42% and prepare 3 additional bolts/arrows per reload.",progression,skills,New,"Increase your entity damage, weapon handling, reload speed with bows by 42% and prepare 3 additional bolts/arrows per reload.",使用弓箭时，实体伤害、武器操作、装填速度各42%，每次装填时额外装填3支箭
"Grip it, rip it, put it in the wind! Increase your entity damage, weapon handling, reload speed with bows by 50% and prepare 4 additional bolts/arrows per reload.",progression,skills,New,"Grip it, rip it, put it in the wind! Increase your entity damage, weapon handling, reload speed with bows by 50% and prepare 4 additional bolts/arrows per reload.",握紧它，撕碎它，让它随风飘荡！\n使用弓箭时，实体伤害、武器操作、装填速度各50%，每次装填时额外装填4支箭
Sharpshooter,progression,skills,New,Sharpshooter,神枪手
You are mastering the arts of sidearms. Every aspect of handgun handling increases.,progression,skills,New,You are mastering the arts of sidearms. Every aspect of handgun handling increases.,你正在练习手枪的技术。手枪的各方面操作能力都在增强。
"Increase your fire rate, clip size and weapon handling by 7%, additionally reduces weapon degradation by 7%.",progression,skills,New,"Increase your fire rate, clip size and weapon handling by 7%, additionally reduces weapon degradation by 7%.",射击速度速、弹匣容量和武器操作能力提高7%，武器磨损减少7%
"Increase your fire rate, clip size and weapon handling by 14%, additionally reduces weapon degradation by 14%.",progression,skills,New,"Increase your fire rate, clip size and weapon handling by 14%, additionally reduces weapon degradation by 14%.",射击速度速、弹匣容量和武器操作能力提高14%，武器磨损减少14%
"Increase your fire rate, clip size and weapon handling by 21%, additionally reduces weapon degradation by 21%.",progression,skills,New,"Increase your fire rate, clip size and weapon handling by 21%, additionally reduces weapon degradation by 21%.",射击速度速、弹匣容量和武器操作能力提高21%，武器磨损减少21%
"Increase your fire rate, clip size and weapon handling by 28%, additionally reduces weapon degradation by 28%.",progression,skills,New,"Increase your fire rate, clip size and weapon handling by 28%, additionally reduces weapon degradation by 28%.",射击速度速、弹匣容量和武器操作能力提高28%，武器磨损减少28%
"Increase your fire rate, clip size and weapon handling by 35%, additionally reduces weapon degradation by 35%.",progression,skills,New,"Increase your fire rate, clip size and weapon handling by 35%, additionally reduces weapon degradation by 35%.",射击速度速、弹匣容量和武器操作能力提高35%，武器磨损减少35%
"Increase your fire rate, clip size and weapon handling by 42%, additionally reduces weapon degradation by 42%.",progression,skills,New,"Increase your fire rate, clip size and weapon handling by 42%, additionally reduces weapon degradation by 42%.",射击速度速、弹匣容量和武器操作能力提高42%，武器磨损减少42%
"The good, the bad and the ugly. Increase your fire rate, clip size and weapon handling by 50%, additionally reduces weapon degradation by 50%.",progression,skills,New,"The good, the bad and the ugly. Increase your fire rate, clip size and weapon handling by 50%, additionally reduces weapon degradation by 50%.","The good, the bad and the ugly. \n射击速度速、弹匣容量和武器操作能力提高50%，武器磨损减少50%"
Robotics,progression,skills,New,Robotics,机器人技术
