Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
cntIronWritableCrate,blocks,block,,,Iron Storage Crate,,Eisen-Lagerkiste,Embalaje de almacenamiento de hierro,Caisse de rangement en fer,Cassa di stoccaggio di ferro,鉄製ストレージ,철제 보관함,Skrzynia na towary – żelazna,Caixote de deposito de ferro,Железный складской ящик,Demir Depolama Sandığı,铁储藏箱,鐵儲藏箱
cntIronWritableCrateInsecure,blocks,block,,,Iron Storage Crate Insecure,,"Eisen-Lagerkiste, unsicher",Embalaje de almacenamiento de hierro no asegurado,Caisse de rangement en fer non sécurisée,Cassa di stoccaggio di ferro pericolante,鉄製ストレージ　鍵無し,철제 보관함 잠기지 않음,"Skrzynia na towary – żelazna, niezabezpieczona",Caixote inseguro de deposito de ferro,Ненадежный железный складской ящик,"Demir Depolama Sandığı, Korumasız",不结实的铁储藏箱,不安全的鐵儲藏箱
cntSteelWritableCrate,blocks,block,,,Steel Storage Crate,,Stahl-Lagerkiste,Embalaje de almacenamiento de acero,Caisse de rangement en acier,Cassa di stoccaggio d'acciaio,鉄鋼製ストレージ,강철 보관함,Skrzynia na towary – stalowa,Caixote de deposito de aço,Стальной складской ящик,Çelik Depolama Sandığı,钢储藏箱,鋼儲藏箱
cntSteelWritableCrateInsecure,blocks,block,,,Steel Storage Crate Insecure,,"Stahl-Lagerkiste, unsicher",Embalaje de almacenamiento de acero no asegurado,Caisse de rangement en acier non sécurisée,Cassa di stoccaggio d'acciaio pericolante,鉄鋼製ストレージ（鍵無し）,강철 보관함 잠기지 않음,"Skrzynia na towary – żelazna, niezabezpieczona",Caixote inseguro de deposito de aço,Ненадежный стальной складской ящик,"Çelik Depolama Sandığı, Korumasız",不结实的钢储藏箱,不安全的鋼儲藏箱
cntStorageGeneric,blocks,Container,,,Storage Box,,Aufbewahrungskiste,Caja de almacenamiento,Caisse de rangement,Scatola portaoggetti,保管ボックス,보관함,Pudło na rzeczy,Caixa de Armazenamento,Коробка для хранения,Saklama Kutusu,储物盒,儲物盒
cntStorageGenericInsecure,blocks,Container,,,Storage Box,,Lagerkiste,Caja de almacenamiento,Caisse de rangement,Scatola portaoggetti,保管ボックス,보관함,Pudło na rzeczy,Caixa de Armazenamento,Коробка для хранения,Saklama Kutusu,储物盒,儲物盒
cntStorageGenericPOI,blocks,Container,,,Storage Box,,Lagerkiste,Caja de almacenamiento,Caisse de rangement,Scatola portaoggetti,保管ボックス,보관함,Pudło na rzeczy,Caixa de Armazenamento,Коробка для хранения,Saklama Kutusu,储物盒,儲物盒
cntStorageGenericSigned,blocks,Container,,,Writable Storage Box,,Beschreibbare Lagerkiste,Caja de almacenamiento grabable,Caisse de rangement inscriptible.,Scatola portaoggetti scrivibile,書き込み可能な保管ボックス,보관함(메모 기입용),Pudło na rzeczy z etykietką,Caixa de armazenamento inscritível,Коробка для хранения с надписью,Yazılabilir Saklama Kutusu,可写字的储物箱,可書寫儲物盒
cntStorageGenericSignedInsecure,blocks,Block,,,Writable Storage Box Insecure,,Beschreibbare Lagerkiste – unsicher,Caja de almacenamiento grabable no segura,Caisse de rangement inscriptible non sécurisée,Scatola portaoggetti scrivibile precaria,書き込み可能な保管ボックス（鍵無し）,메모 가능한 보관함 잠기지 않음,Pudło na rzeczy z etykietką — niezabezpieczone,Caixa de armazenamento inscritível insegura,Ненадежная коробка для хранения с надписью,Emniyetsiz Yazılabilir Saklama Kutusu,不结实的可写字的储物箱,可書寫儲物盒未密封
txName_Storage_generic,painting,txGroupDecoration,,,Storage Crate,,Lagerkiste,Almacén de embalajes,Caisse de rangement,Cassa di stoccaggio,クレートストレージ,보관함 (상자),Magazyn — skrzynia,Depósito de caixotes,Складской ящик,Depo sandık,储藏箱,儲藏箱
xuiChallenges,UI,XUI,,,Challenges,,Challenges,Desafíos,Défis,Sfide,チャレンジ,도전,Wyzwania,Desafios,Испытания,Mücadeleler,挑战,挑戰

xuiOptionsVideoDynamicMeshEnabledTooltip,UI,Xui Video Option,x,,"REQUIRES RELOADING THE GAME FROM THE MAIN MENU\nEnables or Disables the Dynamic Mesh System.\nWhen Enabled, distant player buildings and POI destruction will show in the distance. ",,"ERFORDERT EINEN NEUSTART VOM HAUPTMENÜ AUS.\nAktiviert oder deaktiviert das Dynamische Meshing.\nWenn diese Option aktiviert ist, werden entfernte Spielergebäude und zerstörte Sehenswürdigkeiten in der Ferne angezeigt. ","REQUIERE RECARGAR EL JUEGO DESDE EL MENÚ PRINCIPAL\nActiva o desactiva el sistema de malla dinámica\nCuando está activada, los edificios lejanos del jugador y destrucción PDI se mostrarán a la distancia. ","EXIGE DE RECHARGER LE JEU DEPUIS LE MENU PRINCIPAL\nActive ou désactive le système de maille dynamique.\nLorsqu'il est activé, les bâtiments de joueurs éloignés et la destruction de points d'intérêt seront visibles au loin. ","È NECESSARIO RICARICARE IL GIOCO DAL MENU PRINCIPALE\nAttiva o disattiva il sistema di rete dinamico.\nQuando attivo, gli edifici distanti del giocatore e la distruzione PDI verrà mostrata a distanza. ",「再起動が必要です」\nダイナミックメッシュシステムを有効、または無効化します。\n有効だと、遠くにあるプレイヤーが建てた建物やPOIへの変更が、表示されます。,"게임을 메인 메뉴에서 다시 불러와야 합니다\n다이나믹 메쉬 시스템을 켜거나 끕니다.\n활성화해두면 멀리 있는 플레이어 건물 및 POI 파괴가 멀리에서도 확인 가능합니다. ","WYMAGA PONOWNEGO WCZYTANIA GRY Z GŁÓWNEGO MENU\nWłączenie lub wyłączenie systemu siatki dynamicznej.\nPo włączeniu, dalekie budynki graczy i zniszczenia POI będą pokazywane z daleka. ","REQUER RECARREGAMENTO DO JOGO A PARTIR DO MENU PRICIPAL\nAtiva ou desativa o sistema de malha dinâmica.\nQuando ativado, construções de jogador distantes e destruição de PDT aparecerão à distância. ","ТРЕБУЕТСЯ ПЕРЕЗАПУСК ИГРЫ ИЗ ГЛАВНОГО МЕНЮ\nВключает или выключает систему динамической сетки.\nЕсли она включена, то удаленные здания игрока и уничтожение важных объектов будут видны на расстоянии. ","OYUNU ANA MENÜDEN YENİDEN BAŞLATMAYI GEREKTİRİR\nDinamik Mesh Sistemini Etkinleştirir veya Devre Dışı bırakır.\nEtkinleştirildiğinde uzaktaki oyuncu binaları ve İlgi Alanı yıkımları görünür. ","需要从主菜单重新加载游戏\n启用或停用动态网格系统。\n启用时，远方的玩家建筑和目标点毁坏会显示在远处。 ","需要自主選單重新載入遊戲\n啟用或停用動態網格系統。\n啟用時，遠方玩家建築和訊息點毀壞會顯示在遠處。 "

trader_joel_quest_incomplete_04,UI,Subtitles,,,"If you finish that other errand, I'll have something for you.",,"Wenn du den anderen Auftrag erledigt hast, habe ich was für dich.","Cuando termines ese otro encargo, tendré algo para ti.","Si tu finis cette tâche, j'aurai un truc pour toi.","Quando finirai l'incarico che ti ho dato, te ne darò un altro.",受けてる仕事を終わらせたら、次のを紹介しますよ。,,"Jak skończysz tamto zlecenie, to coś dla ciebie znajdę.","Se você terminar o outro afazer, eu encontrarei algo pra você.","Выполни прошлое поручение, и у меня найдется еще.","Diğer işi bitirirsen sana bir şey vereceğim.","“如果你完成了另外那份工作，我会有活儿给你干的。”","如果你完成其他差事，我會給你一些獎勵。"
trader_jen_sale_declined_14,UI,Subtitles,,,"If you find any extra medicine out there, I'll buy it off of you for a discount.",,"Wenn du da draußen noch mehr Medikamente findest, kaufe ich sie dir mit einem Rabatt ab.","Si encuentras más medicamentos allí fuera, te los compraré a un buen precio.","Si tu tombes sur des médicaments, je te les achète à prix réduit !","Se trovi qualche medicinale extra là fuori, te lo compro in cambio di uno sconto.",余分な医薬品があれば、安く売ってね。,"혹시 저 밖에서 약을 찾으시면, 제가 할인가에 매입해드릴게요.","Jeśli natkniesz się na jakieś niepotrzebne leki, odkupię je za obniżoną cenę.","“Se você tiver com medicamente sobrando, eu compro de você e dou um desconto.”","Если найдете где-нибудь ненужные медикаменты, то я их у вас куплю и предоставлю вам скидку.","Başka bir yerde farklı ilaçlar bulursan senin için indirimli olarak satın alabilirim.","“如果你在外面找到多余的药，我愿意折价购买。”","如果你在外面找到多的藥，我可以用折扣價買下來。"
trader_jen_refuse_04,UI,Subtitles,,,"No thanks, I don't have room for any more of those.",,"Nein, danke. Davon habe ich keinen Platz mehr.","No, gracias, no tengo más espacio para esto.","Non merci. Je n'ai plus la place pour ça.","No grazie, non ho spazio per altre scorte di quella roba.",ごめんなさい、これ以上それを保管するスペースがないの。,"아니에요. 이건 둘 공간이 없어요.","Dzięki, ale nie. Nie mam już miejsca na kolejne sztuki.","“Obrigada, eu não tenho mais espaço para isso.”","Благодарю, но места для этого у меня нет.","Sağ ol ama bunlar için hiç yerim kalmadı.","“不用了，谢谢，我没地方放更多那种东西了。”","不了，謝謝，我沒空間裝更多那種東西了。"
trader_jen_quest_incomplete_04,UI,Subtitles,,,"If you finish that other job, I'll have something for you.",,"Wenn du den anderen Job erledigt hast, hab ich was für dich.","Cuando termines ese otro trabajo, tendré algo para ti.","Si tu finis ce boulot, j'aurai un truc pour toi.","Se finisci quel lavoro, ho un'altra cosa da farti fare.",受けてる仕事を完了させたら、次のを紹介するわ。,"다른 일을 마치고 나면, 또 다른 일을 드릴게요.","Jak skończysz tamtą robotę, to coś dla ciebie znajdę.","Se você terminar o outro trabalho, terei algo para você.","Надо выполнить работу, о которой договаривались, и у меня найдется еще.","O diğer işi bitirirsen sana bir şey vereceğim.","“如果你完成了另外那份工作，我会有活儿给你干的。”","如果你完成那份工作，我會給你一些獎勵。"
trader_jen_quest_declined_07,UI,Subtitles,,,Are you scared of a little work? And I thought you were a tough wastelander.,,"Hast du Angst vor ein bisschen Arbeit? Und ich dachte, du wärst ein harter Ödländer.","¿Te asusta un insignificante trabajito? Y yo que pensaba que la gente del páramo era tenaz.","Ça te fait peur, un peu de boulot ? Je t'imaginais plus coriace.","Ti spaventa un po' di lavoro? E io che pensavo che gli abitanti della landa fossero dei duri.",あら、ちょっとした仕事なのに怖いの？荒れ地慣れしたタフな人だと思ってたのに。,"겨우 이 정도 일이 그렇게 무서워요? 터프한 사람인 줄 알았는데.","Boisz się odrobiny roboty? Myślałam, że mam do czynienia z kimś twardszym.","“Está com medinho de um trabalho? Pensei que fosse casca-grossa.”","Вы что, боитесь работы? А мне-то казалось, что вы из числа суровых выживальщиков.","Ne o, biraz çalışmaktan korktun mu? Ben de seni sağlam bir çorak arazili sanmıştım.","“你是在害怕一点小工作吗？我还以为你是强悍的荒野高手。”","你怕這一點點工作嗎？我還以為你是一個勇敢的荒原來客。"
trader_jen_quest_accepted_03,UI,Subtitles,,,"If you finish two more jobs this week, I'll give you employee of the month!",,"Wenn du diese Woche noch zwei weitere Jobs erledigst, ernenne ich dich zum Mitarbeiter des Monats!","Si completas dos trabajos más esta semana, ¡te daré el premio al empleado del mes!","Si tu termines encore deux missions cette semaine, je te donnerai le titre d'employé du mois !","Se porti a termine altri due lavori questa settimana ti darò la nomina di miglior impiegato del mese!",今週中にあと2つ仕事を終わらせたら、今月の優秀作業員に選ばれますよ！,"이번 주에 일 두 개를 더 완수하면, 이달의 직원으로 선정해드릴게요!","Jak załatwisz w tym tygodniu jeszcze dwie sprawy, zostaniesz pracownikiem miesiąca!","“Se você terminar mais dois trabalhos esta semana eu darei a você... o prêmio de empregado do mês!”","Если на этой неделе выполните еще пару заданий, то станете работником месяца!","Bu hafta iki iş daha bitirirsen sana ayın çalışanı ödülünü vereceğim!","“如果你这周再完成两件工作，我就给你本月最佳员工的称号！”","如果你這禮拜再完成兩項工作，我就讓你當本月最佳員工！"
trader_jen_idle_21,UI,Subtitles,,,I need some more coffee.,,"Ich brauche noch etwas Kaffee.","Necesito más café.","Il me faut un café.","Mi serve altro caffè.",もう少しブラックストラップコーヒーが欲しいわね。,"커피가 필요해요.","Potrzebuję więcej kawy.","“Preciso de mais café.”","Нужно выпить еще кофе.","Biraz daha kahve içmem lazım.","“我需要更多咖啡！”","我需要更多咖啡。"
trader_jen_idle_17,UI,Subtitles,,,(humming),,"(summen)","(tararea)","(chantonne)","(mormorio)",（鼻歌）,"(콧노래)","(nuci sobie)","(cantarolando)","(мурлычет)","(mırıldanıyor)","（轻哼）","（嗡嗡）"
trader_jen_greetmorn_04,UI,Subtitles,,,Another wonderful morning in the apocalypse. How can I help you?,,"Ein weiterer wunderbarer Morgen in der Apokalypse. Wie kann ich dir helfen?","Otra magnífica mañana de apocalipsis. ¿Qué se te ofrece?","Encore une belle journée d'apocalypse qui commence. Comment puis-je t'aider ?","Un'altra splendida mattinata nell'apocalisse. Come posso aiutarti?",今日も素晴らしい終末世界の朝ね。どうしますか？,"황무지에 또 즐거운 아침이 찾아왔네요. 뭘 도와드릴까요?","Kolejny cudowny poranek po apokalipsie. W czym mogę pomóc?","“Que manhã linda no apocalipse. Como posso ajudar?”","Очередное чудное утречко в апокалипсисе. Чем могу помочь?","Kıyamette harika bir sabah daha. Sana nasıl yardımcı olabilirim?","“末世里的又一个美妙清晨。我能帮你做些什么？”","又是一個美好的末日早晨。有什麼我能為你效勞的嗎？"
trader_jen_greeting_16,UI,Subtitles,,,"You're looking kind of rough. You didn't get bit, did you?",,"Du siehst ziemlich mitgenommen aus. Du wurdest doch nicht gebissen, oder?","No te ves muy bien. No te mordieron, ¿cierto?","Tu sembles mal en point... Pas une morsure, j'espère ?","Che brutto aspetto che hai. Non ti hanno morso, vero?",なんだか辛そうですね...噛まれたりしてないわよね？,"오늘 상태가 안 좋아 보이네요. 설마 물린 건 아니죠?","Trochę kiepsko wyglądasz. Nie pogryźli cię czasem?","“Você não parece muito bem. Não te morderam, né?”","Как-то вы неважно выглядите. Вас ведь не покусали?","Kötü görünüyorsun. Zombi falan ısırmadı, değil mi?","“你看起来有点狼狈……你没被咬吧？”","你看起來有點不舒服。你被咬了嗎？"
trader_jen_greeting_15,UI,Subtitles,,,"Well, aren't you a sight for sore eyes. What can I get you",,"Was für eine Augenweide. Was darf es sein?","Guau, tanto tiempo. ¿En qué puedo ayudarte?","Un vrai plaisir de te voir. Qu'est-ce que je peux faire pour toi ?","Sei una gioia per gli occhi. Cosa posso fare per te?",また会えて嬉しいわ。何にしますか？,"정말 반가워요. 뭘 도와드릴까요?","Miód na moje oczy. W czym mogę ci pomóc?","“Você é um colírio para os olhos... O que posso fazer para você?”","Вы сегодня — просто загляденье! Чем могу помочь?","Oo, yüzünü gören cennetlik! Ne getireyim sana?","“你可真是让人眼前一亮。需要点什么？”","你讓我眼睛為之一亮。你想買點什麼嗎？"
trader_jen_announce_closing_01,UI,Subtitles,,,"We'll be closing soon, so make your final purchases and stay safe out there.",,"Wir schließen bald, also macht eure letzten Einkäufe und bleibt sicher da draußen.","Ya estamos por cerrar, así que terminen sus compras y tengan cuidado allá afuera.","La fermeture approche, venez vite faire vos derniers achats. Et faites attention à vous.","Stiamo per chiudere, quindi terminate gli acquisti e andate a mettervi al sicuro.",もうすぐ閉店の時間なので、早めにお買い求めください。朝まで安全でいてくださいね！,"젠의 상점 영업이 곧 종료됩니다. 구매할 게 있으신 분들은 어서 구매하시고, 안전한 밤 보내세요.","Niedługo zamykamy, więc dokończcie zakupy i uważajcie na siebie.","“Fecharemos daqui a pouco, então terminem suas compras e tenham cuidado lá fora.”","Мы скоро закрываемся. Не забудьте докупить всё самое важное и берегите себя.","Dükkanımızı birazdan kapatacağız, o yüzden son alışverişlerinizi yapın ve dışarıda dikkatli olun!","“我们即将打烊，请尽快完成购买，外出时注意安全。”","我們即將打烊，請您盡快結帳，在外出請注意安全！"
trader_hugh_quest_incomplete_04,UI,Subtitles,,,"If you finish that other job, I'll have something for you.",,"Wenn du den anderen Job erledigt hast, hab ich was für dich.","Cuando termines ese otro trabajo, tendré algo para ti.","Si tu finis ce boulot, j'aurai un truc pour toi.","Se finisci quel lavoro, ho un'altra cosa da farti fare.",受けてる仕事終わらせたら、次のを探してやるよ。,,"Jak skończysz tamtą robotę, to coś dla ciebie znajdę.","Se você terminar o outro trabalho, eu encontrarei algo para você.","Надо выполнить работу, о которой договаривались, и у меня найдется еще.","O diğer işi bitirirsen sana bir şey vereceğim.","“如果你完成了另外那份工作，我会有活儿给你干的。”","如果你完成那份工作，我會給你一些獎勵。"

xuiOptionsTwitchInfo,UI,Menu,,,"Twitch Integration allows viewers to interact with your game, giving you a new challenge! Viewers chat to earn Pimp Points which are used for good and bad actions in-game. Cheer with bits to gain Special Points which can be used today, or hoarded for another day. #CP anytime to check your points balance.What's in it for them? The Pimp Pot grows with every command! One lucky viewer wins the bounty for gambling on your demise.Worried about too much mayhem? Twitch Integration progresses with your action stage! Unlock new commands, trigger automatic cool-downs, and adjust the settings to your taste! Once you login, your Twitch Menu displays to the right.For more info, use the Gear icon on the command list.",,"Die Twitch-Integration erlaubt es Zuschauern, mit deinem Spiel zu interagieren, was für völlig neue Herausforderungen sorgt! Die Zuschauer können chatten, um Pimp-Punkte zu sammeln, die sie dann für gute und schlechte Aktionen im Spiel ausgeben können. Feure mit Bits an, um Sonderpunkte zu erhalten, die du heute nutzen oder für später hamstern kannst. Gib #CP ein, um deine Punktezahl anzuzeigen.Was springt für sie dabei heraus? Der Pimp-Topf wächst mit jedem Befehl! Ein glücklicher Zuschauer kann auf deinen Untergang setzen und den Jackpot gewinnen.Könnte das zu chaotisch werden? Die Twitch-Integration schreitet zusammen mit deiner Aktionsstufe fort! Schalte neue Befehle frei, löse automatische Abklingphasen aus und passe die Einstellungen an! Wenn du angemeldet bist, wird rechts dein Twitch-Menü angezeigt.Weitere Informationen findest du über das Zahnradsymbol in der Befehls-Liste.","L'intégration de Twitch permet aux spectateurs d'interagir avec votre jeu, vous offrant ainsi un nouveau défi ! Les spectateurs discutent pour gagner des points de Pimp qui sont utilisés pour de bonnes ou mauvaises actions en jeu. Envoyez des Cheers avec des Bits pour remporter des points spéciaux qui peuvent être utilisés aujourd'hui, ou conservés pour un autre jour. Utilisez la commande #pc à tout moment pour jeter un œil à votre solde de points.Que gagnent-ils à ça ? Le Pot de Pimp grossit à chaque commande ! Un spectateur chanceux remporte le butin pour avoir parié sur votre trépas.Vous avez trop peur du chaos ? L'intégration de Twitch progresse à chaque niveau d'action ! Déverrouillez de nouvelles commandes, activez des temps de recharge automatiques et ajustez les paramètres selon vos envies ! Une fois connecté(e) à Twitch, votre menu Twitch s'affichera à droite.Pour plus d'informations, utilisez l'icône d'engrenage dans la liste des commandes.","La integración con Twitch permite a los espectadores interactuar con el juego, ¡lo que te supondrá un nuevo desafío! Los espectadores pueden chatear para conseguir puntos chulos, que podrán usar para realizar acciones buenas y malas en el juego. Al animar con bits, conseguirán puntos especiales que podrán usar ese mismo día o guardar para más tarde. Usa #PC en cualquier momento para ver el saldo de puntos.¿Qué ganan ellos? El bote chulo crece con cada comando, y una afortunada persona se lo ganará por apostar sobre tu muerte.¿Te preocupa que se desate el caos? ¡La integración con Twitch avanza según la fase del juego en la que estés! ¡Desbloquea nuevos comandos, activa enfriamientos automáticos y modifica los ajustes a tu gusto! Una vez que inicies sesión, el menú de Twitch aparecerá a la derecha.Para obtener más información, usa el ícono de engranaje en la lista de comandos.","L'integrazione di Twitch consente a chi guarda di interagire con la tua partita, regalandoti una nuova sfida! Infatti, chattando, potranno ottenere Punti fan, che possono utilizzati per azioni buone o cattive nel gioco. Facendo il tifo con i bit si otterranno Punti speciali che possono essere utilizzati lo stesso giorno o un giorno successivo. E con ""#CP"" si possono controllare i punti accumulati in qualsiasi momento.Cosa c'è in gioco? Beh, ogni nuova interazione fa crescere il Bottino dei fan! E un fortunato spettatore lo vincerà scommettendo sulla tua rovina.Temi che la situazione sia fuori controllo? L'integrazione di Twitch avanza pari passo con il tuo livello d'azione! Sblocca nuovi comandi, abilita recuperi automatici e regola le impostazioni a tuo piacimento! Dopo aver eseguito l'accesso, il menu di Twitch apparirà sulla destra.Per maggiori informazioni, usa l'icona dell'ingranaggio nell'elenco dei comandi.",Twitch連携を使用すると、視聴者があなたのゲームを操作することが出来るようになります。あなたの配信でチャット入力した視聴者はピンプポイントを獲得することが出来ます。視聴者から配信者へビッツが送られると、送った視聴者は金額に応じたスペシャルポイントを獲得することが出来ます。スペシャルポイントは他のセーブゲームへと持ち越すことが出来ます。視聴者はチャットに #CP と入力することで、自分の所持ポイントを確認することが出来ます。\n\n視聴者はポイントを消費し、配信者を助けたり妨害するアクションを入力し、実行させることが出来ます。視聴者がアクションに使用したポイントの一部はピンプポットに加算されます。配信者を倒した敵を出現させた視聴者はピンプポットに溜まっているポイントがスペシャルポイント報酬としてもらえます！\n\n手に負えなくなってしまう心配はする必要ありません。Twitch連携は配信者のアクションステージに合わせた難易度でプレイすることが可能になっています。配信者はアクションやクールダウンの時間などを細かく設定することが出来ます。Twitch連携にログインすると、画面右にTwitchメニューが表示されます。\n\nアクション一覧にある歯車アイコンをクリックすることで、自分好みに設定を変更することが出来ます。,"Twitch Integration은 시청자가 게임에 상호작용할 수 있도록 허용하므로 새로운 도전을 즐길 수 있습니다! 시청자는 채팅으로 핌프 포인트를 획득하고 게임 내에서 좋거나 나쁜 액션을 수행할 수 있습니다. 비트로 응원하고 당일에 사용하거나 다른 날 쓰도록 모아둘 수 있는 스페셜 포인트를 받아보세요. 언제든 #CP를 입력하여 포인트 잔고를 확인할 수 있습니다.시청자에게는 어떤 혜택이 있을까요? 명령어를 입력할 때마다 핌프 팟이 커집니다! 당신의 운명을 걸고 내기한 시청자 중 운 좋은 한 명이 그 보상을 획득하게 되죠.너무 혼란스러울까 봐 걱정스러우신가요? Twitch Integration은 게임 스테이지와 함께 진행됩니다! 새 명령어를 해제하고, 자동 쿨다운을 발동하고, 취향에 맞춰 설정하세요! 로그인하면 Twitch 메뉴가 오른쪽에 표시됩니다.자세한 내용은 명령어 목록의 톱니바퀴 아이콘을 클릭해 확인하세요.","Integracja z Twitchem umożliwia widzom interakcję z twoją grą, co zapewni ci dodatkowe wyzwanie! Czatując, widzowie zdobywają punkty cwaniaka, które są wykorzystywane do dobrych i złych akcji w grze. Cheeruj bitami, aby zdobywać punkty specjalne, które można wykorzystać od razu lub zachować na potem. Możesz w dowolnym momencie użyć komendy #SP, aby sprawdzić saldo punktów.Co z tego mają widzowie? Wraz z każdym poleceniem rośnie pula cwaniaka! Jeden szczęśliwy widz wygra nagrodę główną za obstawienie zakładów w sprawie twojej śmierci.Martwisz się zbyt wielkim chaosem? Integracja z Twitchem postępuje wraz z etapem akcji! Odblokowuj nowe polecenia, uruchamiaj automatyczne czasy odnawiania i ogólnie dostosuj ustawienia do swoich upodobań! Po zalogowaniu się twoje menu Twitcha zostanie wyświetlone po prawej stronie.Aby uzyskać więcej informacji, użyj ikony koła zębatego na liście poleceń.","A integração com o Twitch permite aos espectadores interagir com o seu jogo, dando a você um novo desafio! Os espectadores conversam para ganhar Pontos de Interação, que são usados para fazerem ações boas ou más no jogo. Torça com bits para ganhar Pontos Especiais, que podem ser usados no dia ou acumulados para outro dia. Insira #CP a qualquer momento para ver os seus pontos.O que tem lá? O Prêmio de Interação cresce a cada comando! Um espectador sortudo ganha a recompensa por jogar com a sua morte.A quantidade de caos preocupa você? A integração com o Twitch progride com a sua fase de ação! Desbloqueie novos comandos, acione tempo de recarga automático e ajuste as configurações como quiser! Assim que você se conecta, o menu do Twitch aparece à direita.Para mais informações, use o ícone de engrenagem na lista de comando.","Интеграция с Twitch позволяет зрителям взаимодействовать с вашей игрой, усложняя испытание! Зрители участвуют в беседе, чтобы заработать баллы активности, которые используются для плохих и хороших действий в игре. Поддерживайте стримера с помощью битов, чтобы получить особые баллы: их можно использовать в тот же день или накопить и применить позже. Чтобы проверить баланс баллов, введите команду #ББ.В чём выгода? Банк активности растет с каждой командой и достанется счастливчику, который выиграет от ваших неудач!Боитесь, что игра станет слишком хаотичной? Интеграция с Twitch развивается по мере прохождения этапов действий! Разблокируйте новые команды, активируйте автоматические восстановления и меняйте настройки на свой вкус! После входа справа будет отображаться меню Twitch.Нажмите значок с шестеренкой в списке команд, чтобы узнать больше.","Twitch Entegrasyonu, izleyicilerin oyununla etkileşime geçmesini sağlayarak sana yeni bir zorluk sunar! İzleyiciler sohbet ederek oyun içinde iyi ve kötü eylemler için kullanılan Pimp Puanları kazanır. Bugün kullanılabilen ya da sonrasına saklanabilen Özel Puanlar kazanmak için bitlerle tezahürat yap. Puan bakiyeni öğrenmek için #PK komutunu kullan.Onların bundan çıkarı ne mi? Pimp Potu her komutla büyür! Şanslı bir izleyici, ölümüne bahis yaptığı için ikramiyeyi kazanır.Çok fazla kargaşa olacağından mı endişelisin? Twitch Entegrasyonu, eylemdeki aşamanla birlikte ilerler! Yeni komutların kilidini aç, otomatik bekleme süreleri başlat ve ayarları istediğin gibi düzenle! Twitch Menün giriş yapınca sağda görünür.Daha fazla bilgi almak için komut listesindeki Dişli simgesini kullan.","Twitch 集成允许观众与你的游戏互动，为你带来新的挑战！观众可以通过聊天赚取恶搞点数，并用它实施“正面”动作或“负面”动作，对你的游戏进程产生积极或消极的影响。如观众使用呼币送出欢呼，就能获得可在当天使用或储存到另一天的特殊点数。可以使用“#检查点数”命令随时检查你的点数余额。这对他们有什么好处？每一个命令都能增加恶搞罐中的恶搞点数总量！也许某个赌你会失败的幸运观众就能赢得全部赏金。担心会手忙脚乱？Twitch 集成与你的动作阶段共进退！解锁新的命令，触发自动冷却时间，并按你所需调整设置！在你登录时，你的 Twitch 菜单会显示在右边。要了解更多信息，请使用命令列表中的齿轮图标。","Twitch Integration 能讓觀眾參與您的遊戲，為您新增挑戰！觀眾透過聊天獲得 Pimp Point，即可在遊戲中執行好行動和壞行動。用小奇點表示鼓勵，即可獲得 Special Point，可以當天使用，也可以保留改天使用。您隨時可以輸入 #CP 來查看點數損益情況。對觀眾來說，有什麼好處？每發出一個命令，Pimp Pot 獎金池就會擴大！最後，有一位幸運的觀眾，會在您死亡時獨得所有獎金。擔心太過混亂嗎？Twitch Integration 會隨著您的遊戲階段而調整！逐步解開新命令、觸發自動冷卻，還可以依照您的喜好變更每一項設定！在您登入之後，Twitch Menu 會顯示在右側。欲知詳情，請點選命令清單上的 Gear 圖示。"
